ip开始地址,ip结束地址,国家,省,市,地区,,
60.191.14.240,60.191.14.247,中国,浙江省,杭州市,民政局,,
60.191.14.248,60.191.19.43,中国,浙江省,杭州市,电信,,
60.191.19.44,60.191.19.47,中国,浙江省,杭州市,浙江工业大学,,
60.191.19.48,60.191.27.255,中国,浙江省,杭州市,电信,,
60.191.28.0,60.191.28.63,中国,浙江省,杭州市,浙江工业大学,,
60.191.28.64,60.191.36.47,中国,浙江省,杭州市,电信,,
60.191.36.48,60.191.36.55,中国,浙江省,杭州市,计算机学校,,
60.191.36.56,60.191.38.47,中国,浙江省,杭州市,电信,,
60.191.38.48,60.191.38.63,中国,浙江省,杭州市,新华书店集团,,
60.191.38.64,60.191.44.255,中国,浙江省,杭州市,电信,,
60.191.45.0,60.191.45.7,中国,浙江省,杭州市,富阳市宇成网吧,,
60.191.45.8,60.191.45.15,中国,浙江省,富阳市,电信,,
60.191.45.16,60.191.45.39,中国,浙江省,杭州市,电信,,
60.191.45.40,60.191.45.47,中国,浙江省,杭州市,富阳市高桥召宇网吧,,
60.191.45.48,60.191.45.71,中国,浙江省,杭州市,电信,,
60.191.45.72,60.191.45.79,中国,浙江省,杭州市,富阳市飞翔鸟网吧,,
60.191.45.80,60.191.45.87,中国,浙江省,杭州市,富阳市无名网吧,,
60.191.45.88,60.191.45.95,中国,浙江省,杭州市,电信,,
60.191.45.96,60.191.45.103,中国,浙江省,富阳市,仙乐休闲网络中心,,
60.191.45.104,60.191.45.111,中国,浙江省,杭州市,电信,,
60.191.45.112,60.191.45.119,中国,浙江省,杭州市,富阳市梦幻网吧,,
60.191.45.120,60.191.45.127,中国,浙江省,杭州市,电信,,
60.191.45.128,60.191.45.131,中国,浙江省,杭州市,富阳市兰卡网吧,,
60.191.45.132,60.191.45.135,中国,浙江省,杭州市,电力局,,
60.191.45.136,60.191.46.223,中国,浙江省,杭州市,电信,,
60.191.46.224,60.191.46.239,中国,浙江省,杭州市,桐庐家园网络技术有限公司,,
60.191.46.240,60.191.54.15,中国,浙江省,杭州市,电信,,
60.191.54.16,60.191.54.23,中国,浙江省,杭州市,宏都宾馆,,
60.191.54.24,60.191.55.63,中国,浙江省,杭州市,电信,,
60.191.55.64,60.191.55.95,中国,浙江省,杭州市,浙江工业大学,,
60.191.55.96,60.191.58.15,中国,浙江省,杭州市,电信,,
60.191.58.16,60.191.58.23,中国,浙江省,杭州市,雅客酒店管理有限公司,,
60.191.58.24,60.191.60.151,中国,浙江省,杭州市,电信,,
60.191.60.152,60.191.60.167,中国,浙江省,杭州市,临平碧天网络,,
60.191.60.168,60.191.79.95,中国,浙江省,杭州市,电信,,
60.191.79.96,60.191.79.111,中国,浙江省,杭州市,萧山区新峰网络传媒,,
60.191.79.112,60.191.98.255,中国,浙江省,杭州市,电信,,
60.191.99.0,60.191.99.31,中国,浙江省,杭州市,浙江大学,,
60.191.99.32,60.191.109.111,中国,浙江省,杭州市,电信,,
60.191.109.112,60.191.109.127,中国,浙江省,杭州市,浙江工业大学,,
60.191.109.128,60.191.113.223,中国,浙江省,杭州市,电信,,
60.191.113.224,60.191.113.255,中国,浙江省,杭州市,浙江工业大学,,
60.191.114.0,60.191.127.255,中国,浙江省,杭州市,电信,,
60.191.128.0,60.191.131.127,中国,浙江省,台州市,电信,,
60.191.131.128,60.191.131.135,中国,浙江省,台州市,玉环县战乐天地网吧,,
60.191.131.136,60.191.135.39,中国,浙江省,台州市,电信,,
60.191.135.40,60.191.135.43,中国,浙江省,台州市,三门县海游镇天天网吧,,
60.191.135.44,60.191.135.103,中国,浙江省,台州市,电信,,
60.191.135.104,60.191.135.107,中国,浙江省,台州市,三门县宏达网吧,,
60.191.135.108,60.191.135.147,中国,浙江省,台州市,电信,,
60.191.135.148,60.191.135.151,中国,浙江省,台州市,三门县旗舰网吧,,
60.191.135.152,60.191.191.255,中国,浙江省,台州市,电信,,
60.191.192.0,60.191.235.151,中国,浙江省,金华市,电信,,
60.191.235.152,60.191.235.155,中国,浙江省,永康市,公路管理段,,
60.191.235.156,60.191.253.159,中国,浙江省,金华市,电信,,
60.191.253.160,60.191.253.167,中国,浙江省,义乌市,沙巴克网吧,,
60.191.253.168,60.191.255.255,中国,浙江省,金华市,电信,,
60.192.0.0,60.193.255.255,日本,,,,,
60.194.0.0,60.195.255.255,中国,北京市,北京市,电信通,,
60.196.0.0,60.197.255.255,韩国,,,,,
60.198.0.0,60.199.255.255,中国,台湾省,,,,
60.200.0.0,60.200.15.255,中国,江西省,,广电信息网,,
60.200.16.0,60.200.35.255,中国,江西省,南昌市,广电网,,
60.200.36.0,60.200.127.255,中国,江西省,,广电信息网,,
60.200.128.0,60.200.191.255,中国,江西省,新余市,广电网,,
60.200.192.0,60.200.193.255,中国,江西省,九江市,广电网,,
60.200.194.0,60.200.227.255,中国,江西省,,广电信息网,,
60.200.228.0,60.200.228.255,中国,江西省,萍乡市,广电网,,
60.200.229.0,60.201.107.255,中国,江西省,,广电信息网,,
60.201.108.0,60.201.127.255,中国,江西省,新余市,广电网,,
60.201.128.0,60.201.197.255,中国,江西省,,广电信息网,,
60.201.198.0,60.201.255.255,中国,江西省,赣州市,广电网,,
60.202.0.0,60.202.127.255,中国,江西省,吉安市,广电网,,
60.202.128.0,60.203.79.255,中国,江西省,,广电信息网,,
60.203.80.0,60.203.87.255,中国,江西省,上饶市,广电网,,
60.203.88.0,60.203.159.255,中国,江西省,,广电信息网,,
60.203.160.0,60.203.179.255,中国,江西省,上饶市,广电网,,
60.203.180.0,60.204.125.255,中国,江西省,,广电信息网,,
60.204.126.0,60.204.127.255,中国,江西省,吉安市,广电网,,
60.204.128.0,60.204.191.255,中国,广东省,广州市,铁通,,
60.204.192.0,60.204.207.255,中国,江西省,,广电信息网,,
60.204.208.0,60.204.223.255,中国,江苏省,常州市,铁通,,
60.204.224.0,60.204.239.255,中国,江苏省,镇江市,铁通,,
60.204.240.0,60.204.255.255,中国,江苏省,南通市,铁通,,
60.205.0.0,60.205.255.255,中国,,,,,
60.206.0.0,60.207.255.255,中国,北京市,北京市,比通联合网络,,
60.208.0.0,60.208.46.255,中国,山东省,济南市,网通,,
60.208.47.0,60.208.47.63,中国,山东省,济南市,新世纪网吧,,
60.208.47.64,60.208.47.95,中国,山东省,济南市,星空网吧,,
60.208.47.96,60.208.47.255,中国,山东省,济南市,维宇网吧,,
60.208.48.0,60.208.75.63,中国,山东省,济南市,网通,,
60.208.75.64,60.208.75.79,中国,山东省,济南市,中华女子学院山东分院,,
60.208.75.80,60.208.75.87,中国,山东省,济南市,网通,,
60.208.75.88,60.208.75.95,中国,山东省,济南市,铁路司机学校,,
60.208.75.96,60.208.86.31,中国,山东省,济南市,网通,,
60.208.86.32,60.208.86.63,中国,山东省,济南市,山东杏林科技职业学院,,
60.208.86.64,60.208.255.255,中国,山东省,济南市,网通,,
60.209.0.0,60.209.220.255,中国,山东省,青岛市,网通,,
60.209.221.0,60.209.221.63,中国,山东省,青岛市,颐中皇冠假日酒店,,
60.209.221.64,60.209.221.127,中国,山东省,青岛市,网通,,
60.209.221.128,60.209.221.135,中国,山东省,青岛市,中国农业发展银行青岛分行,,
60.209.221.136,60.209.221.139,中国,山东省,青岛市,网通,,
60.209.221.140,60.209.221.143,中国,山东省,青岛市,中鲁时空云霄路网吧,,
60.209.221.144,60.209.221.147,中国,山东省,青岛市,巴龙集团,,
60.209.221.148,60.209.221.151,中国,山东省,青岛市,大韩贸易投资振兴公社青岛代表处,,
60.209.221.152,60.209.221.155,中国,山东省,青岛市,网通,,
60.209.221.156,60.209.221.159,中国,山东省,青岛市,伟东置业有限公司,,
60.209.221.160,60.209.221.167,中国,山东省,青岛市,恒安标准人寿青岛分公司,,
60.209.221.168,60.209.221.175,中国,山东省,青岛市,山东省机械进集团公司,,
60.209.221.176,60.209.221.191,中国,山东省,青岛市,城阳区为利群商务宾馆,,
60.209.221.192,60.209.221.255,中国,山东省,青岛市,国家经济信息中心,,
60.209.222.0,60.209.255.255,中国,山东省,青岛市,网通,,
60.210.0.0,60.210.127.255,中国,山东省,淄博市,网通,,
60.210.128.0,60.210.255.255,中国,山东省,潍坊市,网通,,
60.211.0.0,60.211.127.255,中国,山东省,德州市,网通,,
60.211.128.0,60.211.255.255,中国,山东省,济宁市,网通,,
60.212.0.0,60.212.127.255,中国,山东省,烟台市,网通,,
60.212.128.0,60.212.255.255,中国,山东省,威海市,网通,,
60.213.0.0,60.213.127.255,中国,山东省,临沂市,网通,,
60.213.128.0,60.213.191.255,中国,山东省,泰安市,网通,,
60.213.192.0,60.213.255.255,中国,山东省,聊城市,网通,,
60.214.0.0,60.214.95.255,中国,山东省,东营市,网通,,
60.214.96.0,60.214.159.255,中国,山东省,枣庄市,网通,,
60.214.160.0,60.214.175.255,中国,山东省,,网通,,
60.214.176.0,60.214.255.255,中国,山东省,东营市,网通,,
60.215.0.0,60.215.63.255,中国,山东省,滨州市,网通,,
60.215.64.0,60.215.95.255,中国,山东省,淄博市,网通,,
60.215.96.0,60.215.99.255,中国,山东省,泰安市,网通,,
60.215.100.0,60.215.127.255,中国,山东省,莱芜市,网通,,
60.215.128.0,60.215.223.255,中国,山东省,烟台市,网通,,
60.215.224.0,60.215.255.255,中国,山东省,淄博市,网通,,
60.216.0.0,60.216.10.207,中国,山东省,济南市,网通,,
60.216.10.208,60.216.10.223,中国,山东省,济南市,山东蓝翔高级技工学校,,
60.216.10.224,60.216.255.255,中国,山东省,济南市,网通,,
60.217.0.0,60.217.39.255,中国,山东省,临沂市,网通,,
60.217.40.0,60.217.63.255,中国,山东省,滨州市,网通,,
60.217.64.0,60.217.191.255,中国,山东省,威海市,网通,,
60.217.192.0,60.217.255.255,中国,山东省,济南市,网通,,
60.218.0.0,60.218.191.255,中国,黑龙江省,大庆市,网通,,
60.218.192.0,60.218.223.255,中国,黑龙江省,鸡西市,网通,,
60.218.224.0,60.218.255.255,中国,黑龙江省,双鸭山市,网通,,
60.219.0.0,60.219.127.255,中国,黑龙江省,伊春市,网通,,
60.219.128.0,60.219.255.255,中国,黑龙江省,哈尔滨市,网通,,
60.220.0.0,60.220.175.255,中国,山西省,长治市,网通,,
60.220.176.0,60.220.255.255,中国,山西省,晋城市,网通,,
60.221.0.0,60.221.159.255,中国,山西省,临汾市,网通,,
60.221.160.0,60.221.255.255,中国,山西省,吕梁地区,网通,,
60.222.0.0,60.222.196.255,中国,山西省,运城市,网通,,
60.222.197.0,60.222.255.255,中国,山西省,阳泉市,网通,,
60.223.0.0,60.223.191.255,中国,山西省,晋中市,网通,,
60.223.192.0,60.223.255.255,中国,山西省,朔州市,网通,,
60.224.0.0,60.231.255.255,澳大利亚,,,,,
60.232.0.0,60.233.255.255,中国,山东省,济南市,广电网,,
60.234.0.0,60.234.255.255,新西兰,,,,,
60.235.0.0,60.235.255.255,中国,山东省,,电信,,
60.236.0.0,60.239.255.255,日本,,,,,
60.240.0.0,60.242.255.255,澳大利亚,,,,,
60.243.0.0,60.243.255.255,印度,,,,,
60.244.0.0,60.245.95.255,中国,台湾省,,,,
60.245.96.0,60.245.127.255,,,,亚洲网络信息中心,,
60.245.128.0,60.245.255.255,中国,金汉王科技,,,,
60.246.0.0,60.246.255.255,澳大利亚,,,,,
60.247.0.0,60.247.2.255,中国,北京市,北京市,,,
60.247.3.0,60.247.255.255,中国,,,,,
60.248.0.0,60.251.255.255,中国,台湾省,,,,
60.252.0.0,60.252.255.255,中国,黑龙江省,大庆市,油田宽带,,
60.253.0.0,60.253.63.255,日本,,,波音亚太公司,,
60.253.64.0,60.253.95.255,,,,亚洲网络信息中心,,
60.253.96.0,60.253.127.255,印度尼西亚,,,,,
60.253.128.0,60.253.255.255,中国,北京市,北京市,长城宽带,,
60.254.0.0,60.254.127.255,印度,,,,,
60.254.128.0,60.254.191.255,Akamai,,,,,
60.254.192.0,60.254.255.255,日本,,,,,
60.255.0.0,60.255.35.255,中国,四川省,,广电网,,
60.255.36.0,60.255.37.255,中国,四川省,成都市,广电网,,
60.255.38.0,60.255.39.255,中国,四川省,,广电网,,
60.255.40.0,60.255.41.255,中国,四川省,成都市,广电网,,
60.255.42.0,60.255.71.255,中国,四川省,,广电网,,
60.255.72.0,60.255.72.255,中国,四川省,遂宁市,广电网,,
60.255.73.0,60.255.73.255,中国,四川省,,广电网,,
60.255.74.0,60.255.74.255,中国,四川省,广安市,广电网,,
60.255.75.0,60.255.127.255,中国,四川省,,广电网,,
60.255.128.0,60.255.128.255,中国,四川省,资阳市,广电网,,
60.255.129.0,60.255.138.255,中国,四川省,,广电网,,
60.255.139.0,60.255.143.255,中国,四川省,广安市,广电网,,
60.255.144.0,60.255.144.255,中国,四川省,成都市,广电网,,
60.255.145.0,60.255.255.255,中国,四川省,,广电网,,
61.0.0.0,61.3.255.255,印度,,,,,
61.4.0.0,61.4.63.255,中国,香港特别行政区,,,,
61.4.64.0,61.4.79.255,中国,山东省,淄博市,网通,,
61.4.80.0,61.4.95.255,中国,北京市,北京市,互联互通网络,,
61.4.96.0,61.4.127.255,马来西亚,,,,,
61.4.128.0,61.4.175.255,日本,,,,,
61.4.176.0,61.4.191.255,中国,,,,,
61.4.192.0,61.4.255.255,韩国,,,,,
61.5.0.0,61.5.127.255,印度尼西亚,,,,,
61.5.128.0,61.5.159.255,巴基斯坦,,,,,
61.5.160.0,61.5.191.255,韩国,,,,,
61.5.192.0,61.5.207.255,印度尼西亚,,,,,
61.5.208.0,61.5.223.255,新喀里多尼亚,,,,,
61.5.224.0,61.5.255.255,日本,,,,,
61.6.0.0,61.6.191.255,马来西亚,,,,,
61.6.192.0,61.6.255.255,文莱,,,,,
61.7.0.0,61.7.127.255,日本,,,,,
61.7.128.0,61.7.255.255,泰国,,,,,
61.8.0.0,61.8.63.255,澳大利亚,,,,,
61.8.64.0,61.8.79.255,印度尼西亚,,,,,
61.8.80.0,61.8.87.255,日本,,,,,
61.8.88.0,61.8.95.255,,,,亚洲网络信息中心,,
61.8.96.0,61.8.127.255,澳大利亚,,,,,
61.8.128.0,61.8.159.255,印度,,,,,
61.8.160.0,61.8.175.255,中国,上海市,上海市,百视通,,
61.8.176.0,61.8.191.255,,,,亚洲网络信息中心,,
61.8.192.0,61.8.255.255,新加坡,,,,,
61.9.0.0,61.9.127.255,菲律宾,,,,,
61.9.128.0,61.9.255.255,澳大利亚,,,,,
61.10.0.0,61.10.255.255,中国,香港特别行政区,,,,
61.11.0.0,61.11.127.255,印度,,,,,
61.11.128.0,61.11.207.255,日本,,,,,
61.11.208.0,61.11.223.255,马来西亚,,,,,
61.11.224.0,61.11.255.255,泰国,,,,,
61.12.0.0,61.12.127.255,印度,,,,,
61.12.128.0,61.12.255.255,日本,,,,,
61.13.0.0,61.13.255.255,新加坡,,,,,
61.14.0.0,61.14.63.255,澳大利亚,,,,,
61.14.64.0,61.14.95.255,新加坡,,,,,
61.14.96.0,61.14.127.255,澳大利亚,,,,,
61.14.128.0,61.14.131.95,中国,香港特别行政区,,,,
61.14.131.96,61.14.159.255,AsiaNetcom公司,,,,,
61.14.160.0,61.14.162.255,马来西亚,,,,,
61.14.163.0,61.14.164.255,菲律宾,,,,,
61.14.165.0,61.14.165.255,中国,台湾省,,,,
61.14.166.0,61.14.170.255,菲律宾,,,,,
61.14.171.0,61.14.172.255,日本,,,,,
61.14.173.0,61.14.174.255,菲律宾,,,,,
61.14.175.0,61.14.175.255,中国,香港特别行政区,,,,
61.14.176.0,61.14.180.255,菲律宾,,,,,
61.14.181.0,61.14.191.255,AsiaNetcom公司,,,,,
61.14.192.0,61.14.255.255,菲律宾,,,,,
61.15.0.0,61.15.255.255,中国,香港特别行政区,,,,
61.16.0.0,61.16.127.255,新加坡,,,,,
61.16.128.0,61.17.255.255,印度,,,,,
61.18.0.0,61.18.255.255,中国,香港特别行政区,,,,
61.19.0.0,61.19.255.255,泰国,,,,,
61.20.0.0,61.20.255.255,中国,台湾省,,,,
61.21.0.0,61.27.255.255,日本,,,,,
61.28.0.0,61.28.0.255,中国,广东省,肇庆市,盈联宽带,,
61.28.1.0,61.28.1.255,中国,广东省,广州市,盈联宽带,,
61.28.2.0,61.28.2.255,中国,广东省,湛江市,盈联宽带,,
61.28.3.0,61.28.3.255,中国,广东省,茂名市,盈联宽带,,
61.28.4.0,61.28.5.255,中国,广东省,佛山市,盈联宽带,,
61.28.6.0,61.28.7.255,中国,广东省,广州市,盈联宽带,,
61.28.8.0,61.28.9.255,中国,广东省,珠海市,盈联宽带,,
61.28.10.0,61.28.12.255,中国,广东省,广州市,盈联宽带,,
61.28.13.0,61.28.13.255,中国,广东省,潮州市,盈联宽带,,
61.28.14.0,61.28.59.255,中国,广东省,广州市,盈联宽带,,
61.28.60.0,61.28.60.255,中国,广东省,佛山市,视讯宽带,,
61.28.61.0,61.28.63.127,中国,广东省,广州市,盈联宽带,,
61.28.63.128,61.28.63.255,中国,广东省,佛山市,视讯宽带,,
61.28.64.0,61.28.127.255,中国,广东省,广州市,盈联宽带,,
61.28.128.0,61.28.191.255,菲律宾,,,,,
61.28.192.0,61.28.223.255,澳大利亚,,,,,
61.28.224.0,61.28.255.255,,,,亚洲网络信息中心,,
61.29.0.0,61.29.127.255,澳大利亚,,,,,
61.29.128.0,61.29.145.255,中国,广东省,广州市,E家宽带,,
61.29.146.0,61.29.147.255,中国,江苏省,扬州市,网通,,
61.29.148.0,61.29.159.255,中国,广东省,韶关市,有线宽带,,
61.29.160.0,61.29.171.255,中国,广东省,广州市,E家宽带,,
61.29.172.0,61.29.191.255,中国,广东省,佛山市,视讯宽带,,
61.29.192.0,61.29.199.255,中国,广东省,深圳市,恒敦通信,,
61.29.200.0,61.29.203.255,中国,广西,柳州市,视讯宽带,,
61.29.204.0,61.29.207.255,中国,广东省,深圳市,新旭龙宽频,,
61.29.208.0,61.29.215.255,中国,福建省,厦门市,视讯宽带,,
61.29.216.0,61.29.219.255,中国,广东省,广州市,视讯宽带,,
61.29.220.0,61.29.223.255,中国,广东省,深圳市,新旭龙宽频,,
61.29.224.0,61.29.239.255,中国,广西,柳州市,视通网络,,
61.29.240.0,61.29.243.255,中国,广东省,深圳市,新旭龙宽频,,
61.29.244.0,61.29.255.255,中国,广东省,深圳市,视讯宽带,,
61.30.0.0,61.31.255.255,中国,台湾省,,,,
61.32.0.0,61.43.255.255,韩国,,,,,
61.44.0.0,61.45.127.255,日本,,,,,
61.45.128.0,61.45.191.255,中国,网络信息中心,,,,
61.45.192.0,61.45.223.255,日本,,,,,
61.45.224.0,61.45.255.255,,,,亚洲网络信息中心,,
61.46.0.0,61.46.255.255,日本,,,,,
61.47.0.0,61.47.127.255,泰国,,,,,
61.47.128.0,61.47.191.255,中国,黑龙江省,大庆市,油田通信,,
61.47.192.0,61.47.255.255,韩国,,,,,
61.48.0.0,61.48.31.255,中国,北京市,北京市,网通,,
61.48.32.0,61.48.39.255,中国,北京市,北京市,网通,,
61.48.40.0,61.48.47.255,中国,北京市,北京市,网通,,
61.48.48.0,61.48.55.255,中国,北京市,北京市,网通,,
61.48.56.0,61.48.59.255,中国,北京市,北京市,网通,,
61.48.60.0,61.48.63.255,中国,北京市,北京市,网通,,
61.48.64.0,61.48.71.255,中国,北京市,北京市,网通,,
61.48.72.0,61.48.79.255,中国,北京市,北京市,网通,,
61.48.80.0,61.48.95.255,中国,北京市,北京市,网通,,
61.48.96.0,61.48.119.255,中国,北京市,北京市,网通,,
61.48.120.0,61.48.127.255,中国,北京市,北京市,网通,,
61.48.128.0,61.48.143.255,中国,北京市,北京市,网通,,
61.48.144.0,61.48.167.255,中国,北京市,北京市,网通,,
61.48.168.0,61.48.168.255,中国,北京市,北京市,网通,,
61.48.169.0,61.48.174.255,中国,北京市,北京市,网通,,
61.48.175.0,61.48.191.255,中国,北京市,北京市,网通,,
61.48.192.0,61.48.207.255,中国,北京市,北京市,网通,,
61.48.208.0,61.48.215.255,中国,北京市,北京市,网通,,
61.48.216.0,61.48.223.255,中国,北京市,北京市,网通,,
61.48.224.0,61.49.95.255,中国,北京市,北京市,网通,,
61.49.96.0,61.49.139.255,中国,北京市,北京市,网通,,
61.49.140.0,61.49.151.255,中国,北京市,北京市,网通,,
61.49.152.0,61.49.159.255,中国,北京市,北京市,网通,,
61.49.160.0,61.49.199.255,中国,北京市,北京市,网通,,
61.49.200.0,61.49.207.255,中国,北京市,北京市,网通,,
61.49.208.0,61.49.215.255,中国,北京市,北京市,网通,,
61.49.216.0,61.49.223.255,中国,北京市,北京市,网通,,
61.49.224.0,61.49.231.255,中国,北京市,北京市,网通,,
61.49.232.0,61.49.239.255,中国,北京市,北京市,网通,,
61.49.240.0,61.49.247.255,中国,北京市,北京市,网通,,
61.49.248.0,61.49.249.255,中国,北京市,北京市,网通,,
61.49.250.0,61.49.251.255,中国,北京市,北京市,网通,,
61.49.252.0,61.49.255.255,中国,北京市,北京市,网通,,
61.50.0.0,61.50.127.255,中国,北京市,北京市,网通,,
61.50.128.0,61.50.135.255,中国,北京市,北京市,网通,,
61.50.136.0,61.50.143.255,中国,北京市,北京市,网通,,
61.50.144.0,61.50.159.255,中国,北京市,北京市,网通,,
61.50.160.0,61.50.175.255,中国,北京市,北京市,网通,,
61.50.176.0,61.50.199.255,中国,北京市,北京市,网通,,
61.50.200.0,61.50.207.255,中国,北京市,北京市,网通,,
61.50.208.0,61.50.215.255,中国,北京市,北京市,网通,,
61.50.216.0,61.50.219.255,中国,北京市,北京市,网通,,
61.50.220.0,61.50.223.255,中国,北京市,北京市,网通,,
61.50.224.0,61.50.231.255,中国,北京市,北京市,网通,,
61.50.232.0,61.50.239.255,中国,北京市,北京市,网通,,
61.50.240.0,61.50.255.255,中国,北京市,北京市,网通,,
61.51.0.0,61.51.31.255,中国,北京市,北京市,网通,,
61.51.32.0,61.51.39.255,中国,北京市,北京市,网通,,
61.51.40.0,61.51.47.255,中国,北京市,北京市,网通,,
61.51.48.0,61.51.79.255,中国,北京市,北京市,网通,,
61.51.80.0,61.51.87.255,中国,北京市,北京市,网通,,
61.51.88.0,61.51.111.255,中国,北京市,北京市,网通,,
61.51.112.0,61.51.127.255,中国,北京市,北京市,网通,,
61.51.128.0,61.51.151.255,中国,北京市,北京市,网通,,
61.51.152.0,61.51.167.255,中国,北京市,北京市,网通宣武/西城区,,
61.51.168.0,61.51.171.255,中国,北京市,北京市,网通,,
61.51.172.0,61.51.183.255,中国,北京市,北京市,网通,,
61.51.184.0,61.51.203.255,中国,北京市,北京市,网通,,
61.51.204.0,61.51.207.255,中国,北京市,北京市,网通,,
61.51.208.0,61.51.219.255,中国,北京市,北京市,网通,,
61.51.220.0,61.51.223.255,中国,北京市,北京市,网通,,
61.51.224.0,61.51.227.255,中国,北京市,北京市,网通,,
61.51.228.0,61.51.239.255,中国,北京市,北京市,网通,,
61.51.240.0,61.51.246.255,中国,北京市,北京市,网通,,
61.51.247.0,61.51.255.255,中国,北京市,北京市,网通,,
61.52.0.0,61.52.255.255,中国,河南省,郑州市,网通,,
61.53.0.0,61.53.23.255,中国,河南省,许昌市,网通,,
61.53.24.0,61.53.47.255,中国,河南省,驻马店市,网通,,
61.53.48.0,61.53.90.255,中国,河南省,焦作市,网通,,
61.53.91.0,61.53.143.255,中国,河南省,开封市,网通,,
61.53.144.0,61.53.159.255,中国,河南省,鹤壁市,网通,,
61.53.160.0,61.53.186.255,中国,河南省,平顶山市,网通,,
61.53.187.0,61.53.216.255,中国,河南省,信阳市,网通,,
61.53.217.0,61.53.228.255,中国,河南省,周口市,网通,,
61.53.229.0,61.53.255.255,中国,河南省,商丘市,网通,,
61.54.0.0,61.54.3.255,中国,河南省,安阳市,网通,,
61.54.4.0,61.54.11.255,中国,河南省,郑州市,网通,,
61.54.12.0,61.54.22.255,中国,河南省,安阳市,网通,,
61.54.23.0,61.54.95.255,中国,河南省,洛阳市,网通,,
61.54.96.0,61.54.127.255,中国,河南省,新乡市,网通,,
61.54.128.0,61.54.143.255,中国,河南省,漯河市,网通,,
61.54.144.0,61.54.151.255,中国,河南省,信阳市,网通,,
61.54.152.0,61.54.177.255,中国,河南省,濮阳市,网通,,
61.54.178.0,61.54.183.255,中国,河南省,三门峡市,网通,,
61.54.184.0,61.54.184.255,中国,河南省,义马市,网通,,
61.54.185.0,61.54.207.255,中国,河南省,三门峡市,网通,,
61.54.208.0,61.54.211.255,中国,河南省,漯河市,网通,,
61.54.212.0,61.54.245.255,中国,河南省,安阳市,网通,,
61.54.246.0,61.54.253.255,中国,河南省,鹤壁市,网通,,
61.54.254.0,61.54.255.255,中国,河南省,漯河市,网通,,
61.55.0.0,61.55.33.255,中国,河北省,石家庄市,网通,,
61.55.34.0,61.55.66.255,中国,河北省,唐山市,网通,,
61.55.67.0,61.55.79.255,中国,河北省,保定市,网通,,
61.55.80.0,61.55.92.255,中国,河北省,邯郸市,网通,,
61.55.93.0,61.55.111.255,中国,河北省,秦皇岛市,网通,,
61.55.112.0,61.55.119.255,中国,河北省,沧州市,网通,,
61.55.120.0,61.55.127.255,中国,河北省,承德市,网通,,
61.55.128.0,61.55.132.255,中国,河北省,衡水市,网通,,
61.55.133.0,61.55.133.255,中国,河北省,承德市,网通,,
61.55.134.0,61.55.139.255,中国,河北省,廊坊市,网通,,
61.55.140.0,61.55.141.255,中国,河北省,邯郸市,网通,,
61.55.142.0,61.55.147.255,中国,河北省,保定市,网通,,
61.55.148.0,61.55.149.255,中国,河北省,邢台市,网通,,
61.55.150.0,61.55.181.255,中国,河北省,邯郸市,网通,,
61.55.182.0,61.55.197.255,中国,河北省,唐山市,网通,,
61.55.198.0,61.55.255.255,中国,河北省,石家庄市,网通,,
61.56.0.0,61.67.255.255,中国,台湾省,,,,
61.68.0.0,61.69.255.255,澳大利亚,,,,,
61.70.0.0,61.71.255.255,中国,台湾省,,,,
61.72.0.0,61.85.255.255,韩国,,,,,
61.86.0.0,61.87.127.255,日本,,,,,
61.87.128.0,61.87.191.255,新加坡,,,,,
61.87.192.0,61.87.255.255,中国,上海市,上海市,有线通,,
61.88.0.0,61.88.255.255,澳大利亚,,,,,
61.89.0.0,61.89.255.255,日本,,,,,
61.90.0.0,61.91.255.255,泰国,,,,,
61.92.0.0,61.93.255.255,中国,香港特别行政区,,,,
61.94.0.0,61.94.255.255,印度尼西亚,,,,,
61.95.0.0,61.95.127.255,澳大利亚,,,,,
61.95.128.0,61.95.255.255,印度,,,,,
61.96.0.0,61.111.255.255,韩国,,,,,
61.112.0.0,61.127.255.255,日本,,,,,
61.128.0.0,61.128.95.255,中国,,,电信,,
61.128.96.0,61.128.100.255,中国,新疆,乌鲁木齐市,电信,,
61.128.101.0,61.128.101.255,中国,新疆,阿克苏市,电信,,
61.128.102.0,61.128.102.255,中国,新疆,阿勒泰,电信,,
61.128.103.0,61.128.107.255,中国,新疆,乌鲁木齐市,电信,,
61.128.108.0,61.128.108.255,中国,新疆,石河子市,电信,,
61.128.109.0,61.128.109.255,中国,新疆,克拉玛依市,电信,,
61.128.110.0,61.128.111.255,中国,新疆,,电信,,
61.128.112.0,61.128.127.255,中国,新疆,乌鲁木齐市,电信,,
61.128.128.0,61.128.147.255,中国,重庆市,,电信,,
61.128.148.0,61.128.151.255,中国,重庆市,,电信,,
61.128.152.0,61.128.158.223,中国,重庆市,,电信,,
61.128.158.224,61.128.158.231,中国,重庆市,,沙坪坝区新浪网城,,
61.128.158.232,61.128.159.255,中国,重庆市,,电信,,
61.128.160.0,61.128.160.135,中国,重庆市,,电信,,
61.128.160.136,61.128.160.143,中国,重庆市,,渝中区大坪春之天网城,,
61.128.160.144,61.128.161.127,中国,重庆市,,电信,,
61.128.161.128,61.128.161.159,中国,重庆市,,重庆医科大学,,
61.128.161.160,61.128.161.255,中国,重庆市,,电信,,
